file_basename,file_fingerprint,file_path,season,calendar_year,category_id,tournament_id,event_name,gender,format,enabled,notes,legacy_event_names,source_sheet
bm2008_dopp_da_erg.pdf,6beee4caa952e073fdb733aded3e3e114fb500ca92801543482684338ab92f50,bm2008_dopp_da_erg.pdf,07/08,2008,bayerisches-doppel-frauen,BM D D,Bayerische Meisterschaft Damen Doppel 2008,female,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2008_dopp_he_erg.pdf,cb6d0739ca09a57b82f1bc46c4dd4d30e245cf7f57031953e8658fa746481399,bm2008_dopp_he_erg.pdf,07/08,2008,bayerisches-doppel-herren,BM M D,Bayerische Meisterschaft Männer Doppel 2008,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2008_nb_he_erg.pdf,4249fd6b12ad8290d3ce81c0813be9fd271abebfb800024a349cc0f2f998eaa2,bm2008_nb_he_erg.pdf,07/08,2008,nordbayerische-herren,NBM M,Nordbayerische Meisterschaft,male,legacy_pdf_erg_2009,true,scanned from input dir,,
bm2008_sb_he_erg.pdf,ba5420adc40efda44d27085bd3457333636e7c257dd886337c96b6e47e1962b6,bm2008_sb_he_erg.pdf,07/08,2008,suedbayerische-herren,SBM M,Südbayerische Meisterschaft,male,legacy_pdf_erg_2009,true,comma-name Vor/Zw/Fin inline layout,,
bm2009_sb_da_erg.pdf,ff6840c8b5499054e17049b947563bfe1d18df6eeab54a34488fb7dd9f169bb3,bm2009_sb_da_erg.pdf,08/09,2009,bayerische-einzel-frauen,BM D,Bayerische Meisterschaft Einzel Damen 2009,female,legacy_pdf_erg_2009,true,scanned from input dir,,
bm2009_einzel_erg_he.pdf,0ba9f72fc30fdfdded59966322c2291e62a1197ada3a27cb27153a08d374ba06,bm2009_einzel_erg_he.pdf,08/09,2009,bayerische-einzel-herren,BM M,Bayerische Meisterschaft Einzel 2009,male,legacy_pdf_erg_2009,true,comma-name layout,,
bm2009_mix_erg.pdf,527f0923b75fb2eedc38ba02a53cb1213e387971701b2eb92ba4c86a13fa28f0,bm2009_mix_erg.pdf,08/09,2009,bayerische-mixed,BM X,Bayerische Meisterschaft Mixed 2009,mixed,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2009_dopp_da_erg.pdf,2305d19a3cdd37a5657bc454c2b00efa27118a8c70071c5a97c43956012e77dc,bm2009_dopp_da_erg.pdf,08/09,2009,bayerisches-doppel-frauen,BM D D,Bayerische Meisterschaft Damen Doppel 2009,female,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2009_dopp_he_erg.pdf,5642973d9b3674996f83d6adc61fe6983bb0ea361cbfa0900335966de0ad3790,bm2009_dopp_he_erg.pdf,08/09,2009,bayerisches-doppel-herren,BM M D,Bayerische Meisterschaft Männer Doppel 2009,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2009_nb_he_erg.pdf,d506e84ed1db93e303b73d957b5cccf2253aac302e9b44ae093920ed98c0cdce,bm2009_nb_he_erg.pdf,08/09,2009,nordbayerische-herren,NBM M,Nordbayerische Meisterschaft,male,legacy_pdf_erg_edv_grid,true,scanned from input dir,,
bm2009_sb_he_erg.pdf,5a994fd34905434f071cb248098479ee7704ab51e1a375bc21ec1ecb39512399,bm2009_sb_he_erg.pdf,08/09,2009,suedbayerische-herren,SBM M,Südbayerische Meisterschaft,male,legacy_pdf_erg_2009,true,scanned from input dir,Südbayerische Meisterschaft 2009 Herren,
bm2010_einz_erg_d.pdf,779b97da72ee6adf4f450fa57cdabf009240604710619b07b77ba4d508875158,bm2010_einz_erg_d.pdf,09/10,2010,bayerische-einzel-frauen,BM D,Bayerische Meisterschaft Einzel Damen 2010,female,legacy_pdf_erg_2009,true,scanned from input dir,,
bm2010_einz_erg_h.pdf,afdf3c67540e1b2033ee9c7da04c392052f50cc14657322e9b8b2494cd4d2bb4,bm2010_einz_erg_h.pdf,09/10,2010,bayerische-einzel-herren,BM M,Bayerische Meisterschaft Einzel 2010,male,legacy_pdf_erg_2009,true,scanned from input dir,,
bm2010_mix_erg.pdf,83a3c6ed0c61425fda942b11d65905c903adf6ad2fb8552596d29977d5a626f7,bm2010_mix_erg.pdf,09/10,2010,bayerische-mixed,BM X,Bayerische Meisterschaft Mixed 2010,mixed,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2010_dopp_da_erg.pdf,484a60529aa509d3e38937cedfc821e826ca2d908b1ef9f0a27639ca220e76b1,bm2010_dopp_da_erg.pdf,09/10,2010,bayerisches-doppel-frauen,BM D D,Bayerische Meisterschaft Damen Doppel 2010,female,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2010_dopp_he_erg.pdf,78b92728a5f259774ae750d71828ea09e0f9a58c4722a658ae18dc3b01852bcc,bm2010_dopp_he_erg.pdf,09/10,2010,bayerisches-doppel-herren,BM M D,Bayerische Meisterschaft Männer Doppel 2010,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2010_nb_he_erg.pdf,4985e2502968bb1ac5c061246d88c582e67eabdd3afdcb1eff94e1aab886bf16,bm2010_nb_he_erg.pdf,09/10,2010,nordbayerische-herren,NBM M,Nordbayerische Meisterschaft,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2010_sb_he_erg.pdf,9f25579fe13424a4584c0bb16e69a7ed9f0d0db07b3efba2c485675ca3c62b06,bm2010_sb_he_erg.pdf,09/10,2010,suedbayerische-herren,SBM M,Südbayerische Meisterschaft,male,legacy_pdf_erg_2009,true,scanned from input dir,"Südbayerische Meisterschaft 2010,  City-Bowling Augsburg",
bm2011_einz_da_erg.pdf,3e2ef696e9ac96cfe4809058bd6c7e19b4e136ca0717451c18d9353017c04127,bm2011_einz_da_erg.pdf,10/11,2011,bayerische-einzel-frauen,BM D,Bayerische Meisterschaft Einzel Damen 2011,female,legacy_pdf_erg_2009,true,scanned from input dir,,
bm2011_einz_he_erg.pdf,046207b7010487d5858abf0c16e096e9eb91b395a0957a67774c5a2ec8be3767,bm2011_einz_he_erg.pdf,10/11,2011,bayerische-einzel-herren,BM M,Bayerische Meisterschaft Einzel 2011,male,legacy_pdf_erg_2009,true,scanned from input dir,,
bm2011_mix_erg.pdf,8de3c3dbc9828045831fd1e56592a75fc117dc55291fc9cc9e02d07282aaf74b,bm2011_mix_erg.pdf,10/11,2011,bayerische-mixed,BM X,Bayerische Meisterschaft Mixed 2011,mixed,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2011_dopp_da_erg.pdf,989d55131f0a0c97bf22d9f1f6b3dceb9cb362d15ad457e5ac7f21a0b3222b75,bm2011_dopp_da_erg.pdf,10/11,2011,bayerisches-doppel-frauen,BM D D,Bayerische Meisterschaft Damen Doppel 2011,female,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2011_dopp_he_erg.pdf,e9602c8b360c96042a5b2b542a87c47bb979aa0274fc25631efe3eaf54075a77,bm2011_dopp_he_erg.pdf,10/11,2011,bayerisches-doppel-herren,BM M D,Bayerische Meisterschaft Männer Doppel 2011,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2011_nbm_h_erg_neu.pdf,79621840ca11321a578c16600df5d8a8a8230efad6bc438f08eddada77bdb957,bm2011_nbm_h_erg_neu.pdf,10/11,2011,nordbayerische-herren,NBM M,Nordbayerische Meisterschaft,male,legacy_pdf_erg_2009,true,scanned from input dir,,
bm2011_sbm_h_erg.pdf,d33ce87f173467a639fd99409a5fc57eeea4ab4ecf7d2931681993f232b4a2d1,bm2011_sbm_h_erg.pdf,10/11,2011,suedbayerische-herren,SBM M,Südbayerische Meisterschaft,male,legacy_pdf_erg_2009,true,scanned from input dir,Südbayerische Meisterschaft Einzel Herren 2011,
bm2012_einz_da_erg.pdf,a68198934f8cec03eb7c120d2abfb8509a5160c293f79c031999f0b8fda3faec,bm2012_einz_da_erg.pdf,11/12,2012,bayerische-einzel-frauen,BM D,Bayerische Meisterschaft Einzel Damen 2012,female,legacy_pdf_erg_2012,true,scanned from input dir,,
bm2012_einz_he_erg.pdf,61879b5aee0cd1062caf90d25b34a5ba0c43565c5f2dd78712f801de7b74007a,bm2012_einz_he_erg.pdf,11/12,2012,bayerische-einzel-herren,BM M,Bayerische Meisterschaft Einzel 2012,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2012_mixed_erg.pdf,2f2cc07eaed3871fef27af33c522f6c1c4da3e30d6f42576628c75af0972709c,bm2012_mixed_erg.pdf,11/12,2012,bayerische-mixed,BM X,Bayerische Meisterschaft Mixed 2012,mixed,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2012_dopp_da_erg.pdf,26c4d07ea408a4c854938bce8ee6b8fa91df5b629f2289aa292bbf4444206cba,bm2012_dopp_da_erg.pdf,11/12,2012,bayerisches-doppel-frauen,BM D D,Bayerische Meisterschaft Damen Doppel 2012,female,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2012_dopp_he_erg.pdf,e74f4f124dd2cc6a0beb26a914a0568ceb897637992d72d95d6a1a62514b7a77,bm2012_dopp_he_erg.pdf,11/12,2012,bayerisches-doppel-herren,BM M D,Bayerische Meisterschaft Männer Doppel 2012,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2012_nbm_h_erg.pdf,09a2a811a56b75b83ccd7187dc6e60a532953d70bf54f797aa9e1ce33bdc7adb,bm2012_nbm_h_erg.pdf,11/12,2012,nordbayerische-herren,NBM M,Nordbayerische Meisterschaft,male,legacy_pdf_erg_2009,true,scanned from input dir,Nordbayerische Meisterschaft Einzel Herren 2012,
bm2012_sbm_h_erg.pdf,fc28515975b4bde3428b3977b0e810c29dbae8ae8c8da8c5f5499eca229235b5,bm2012_sbm_h_erg.pdf,11/12,2012,suedbayerische-herren,SBM M,Südbayerische Meisterschaft,male,legacy_pdf_erg_2012,true,scanned from input dir,Süd-Bayerische Meisterschaft 2012,
bm2013_einz_da_erg.pdf,df51f8b8788c165a56ec116c2f3d85cd7b7ccb8dcada9b9b850a38b9fbe79076,bm2013_einz_da_erg.pdf,12/13,2013,bayerische-einzel-frauen,BM D,Bayerische Meisterschaft Einzel Damen 2013,female,legacy_pdf_erg_2009,true,scanned from input dir,,
bm2013_einz_he_erg.pdf,16f4135ceec9e9049ceb2413d701f860dd86eb6d89efaa05b24459250f8d8a75,bm2013_einz_he_erg.pdf,12/13,2013,bayerische-einzel-herren,BM M,Bayerische Meisterschaft Einzel 2013,male,legacy_pdf_erg_2009,true,comma-name layout,,
bm2013_mix_erg.pdf,456adb6b2009db17216fab407430bec8376faa47516fc76e64f57bed624c77f5,bm2013_mix_erg.pdf,12/13,2013,bayerische-mixed,BM X,Bayerische Meisterschaft Mixed 2013,mixed,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2013_dopp_da_erg.pdf,360897213329609da6b3be79593fca2561afee4ded5ce0bac1110a8943bc9cf0,bm2013_dopp_da_erg.pdf,12/13,2013,bayerisches-doppel-frauen,BM D D,Bayerische Meisterschaft Damen Doppel 2013,female,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2013_dopp_he_erg.pdf,12f0246883c1ffa55bb2b4194f4da8899b76d028a9e7a0e225f1788c04a9ad25,bm2013_dopp_he_erg.pdf,12/13,2013,bayerisches-doppel-herren,BM M D,Bayerische Meisterschaft Männer Doppel 2013,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2013_nb_herren_erg.pdf,0c7e759bfe0a3dc81d35e63bf7bc236095399e56e18127233db3083eaf760188,bm2013_nb_herren_erg.pdf,12/13,2013,nordbayerische-herren,NBM M,Nordbayerische Meisterschaft,male,legacy_pdf_erg_2016,true,scanned from input dir,Nordbayerische Meisterschaft Einzel 2013,
bm2013_sb_herren_erg.pdf,254e618132ad5a5f208ba06c785073cd7bf08c83bb9e4c4d316b78136571acea,bm2013_sb_herren_erg.pdf,12/13,2013,suedbayerische-herren,SBM M,Südbayerische Meisterschaft,male,legacy_pdf_erg_2016,true,scanned from input dir,Südbayerische Meisterschaft 2013,
bm2014_akt_einz_da_erg.pdf,f337345c5f69df17941b781ffa43b2116af9bdd48369ea4b49dcb28973f730a5,bm2014_akt_einz_da_erg.pdf,13/14,2014,bayerische-einzel-frauen,BM D,Bayerische Meisterschaft Einzel Damen 2014,female,legacy_pdf_erg_2009,true,partial parse (~16 players),,
bm2014_akt_einz_he_erg.pdf,73be6db957150abc605fc393917810353fa248ac7042115a81193fa036c122d8,bm2014_akt_einz_he_erg.pdf,13/14,2014,bayerische-einzel-herren,BM M,Bayerische Meisterschaft Einzel 2014,male,legacy_pdf_erg_2016,true,GAP: no parser extracts player blocks,,
bm2014_akt_mixed_erg.pdf,e8035bd07093e0201b66ac7dde98e824c6071634d67da7fa02b2aa0b26f6bdbb,bm2014_akt_mixed_erg.pdf,13/14,2014,bayerische-mixed,BM X,Bayerische Meisterschaft Mixed 2014,mixed,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2014_akt_dopp_da_erg.pdf,76221267bf9172693a514a98367b83f8455970d23b4666cb8dfcc89b22df956e,bm2014_akt_dopp_da_erg.pdf,13/14,2014,bayerisches-doppel-frauen,BM D D,Bayerische Meisterschaft Damen Doppel 2014,female,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2014_akt_dopp_he_erg.pdf,837108174579f0e43f5ee43c786cd2ee1745661a97a844b917d1c6663fb40168,bm2014_akt_dopp_he_erg.pdf,13/14,2014,bayerisches-doppel-herren,BM M D,Bayerische Meisterschaft Männer Doppel 2014,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2014_nb_he_erg.pdf,eef5e169261558fd013403b99243db7982b2638dc1bba9f35e71ab16044de18c,bm2014_nb_he_erg.pdf,13/14,2014,nordbayerische-herren,NBM M,Nordbayerische Meisterschaft,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2014_sb_he_erg.pdf,2156a6932a8f3edbd5626f88fdaff9fb8dacf2beef8da70f7588ba34404fd0c2,bm2014_sb_he_erg.pdf,13/14,2014,suedbayerische-herren,SBM M,Südbayerische Meisterschaft,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2015_einz_da_erg.pdf,3eb544bf35092cb53831886d182ce764afbdc489cef08b5278481a6d1d9c97a8,bm2015_einz_da_erg.pdf,14/15,2015,bayerische-einzel-frauen,BM D,Bayerische Meisterschaft Einzel Damen 2015,female,legacy_pdf_erg_2016,true,GAP: wide horizontal grid (no parser yet),,
bm2015_einz_he_erg.pdf,ebc0bb815c5617aa704e6492ce975d2467e6a549dfd1b7c520ed9a798924a9af,bm2015_einz_he_erg.pdf,14/15,2015,bayerische-einzel-herren,BM M,Bayerische Meisterschaft Einzel 2015,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2015_mixed_erg.pdf,88b6c4305bf44a359526544de30ed9fbc12f49ac411c470ba81e7ef76eccd739,bm2015_mixed_erg.pdf,14/15,2015,bayerische-mixed,BM X,Bayerische Meisterschaft Mixed 2015,mixed,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2015_dopp_da_erg.pdf,2ca938e987f115eaf083e7b754f4b327bf29213bffdb44e14bbd95a811c66eb0,bm2015_dopp_da_erg.pdf,14/15,2015,bayerisches-doppel-frauen,BM D D,Bayerische Meisterschaft Damen Doppel 2015,female,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2015_dopp_he_erg.pdf,0144ba4a2abd52b815969f1868f95189e56ee6707ad0b35e043566ed00ade6eb,bm2015_dopp_he_erg.pdf,14/15,2015,bayerisches-doppel-herren,BM M D,Bayerische Meisterschaft Männer Doppel 2015,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2015_nb_he_erg.pdf,d6b216cff94079234bbf0c0081113af7fce245060d274ae73627537b8e64fffa,bm2015_nb_he_erg.pdf,14/15,2015,nordbayerische-herren,NBM M,Nordbayerische Meisterschaft,male,legacy_pdf_erg_2015,true,scanned from input dir,,
bm2015_sb_he_erg.pdf,d75f05d796611a60f5b6e33017f99b327a0d167e3b083b5df122dc7f6b5dacd1,bm2015_sb_he_erg.pdf,14/15,2015,suedbayerische-herren,SBM M,Südbayerische Meisterschaft,male,legacy_pdf_erg_2016,true,GAP: wide Sp1-18 horizontal grid (no parser yet),,
bm2016_einz_da_erg.pdf,469ea0aa472b7ece078cc12b5f53a4ef87bb3a5c24153b9c2553381adbefb590,bm2016_einz_da_erg.pdf,15/16,2016,bayerische-einzel-frauen,BM D,Bayerische Meisterschaft Einzel Damen 2016,female,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2016_einz_he_erg.pdf,1d369bae70fad2166cc58fb3968fac1e2b70e61c160eeb1ee045cf8be52a4214,bm2016_einz_he_erg.pdf,15/16,2016,bayerische-einzel-herren,BM M,Bayerische Meisterschaft Einzel 2016,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2016_mixed_erg.pdf,c0ff40b4cb51ea9195055d96e4c9fd3c24df8229669b0ac7500ef2f0837fd04d,bm2016_mixed_erg.pdf,15/16,2016,bayerische-mixed,BM X,Bayerische Meisterschaft Mixed 2016,mixed,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2016_dopp_da_erg.pdf,eaa86f81b484d2e0653cd9c5c08930ed7d9ba1d76285106f8dd6858730c8b24b,bm2016_dopp_da_erg.pdf,15/16,2016,bayerisches-doppel-frauen,BM D D,Bayerische Meisterschaft Damen Doppel 2016,female,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2016_dopp_he_erg.pdf,dde488d0549bc93c455aeb74d152d2837f43b1142d98343d8016b6ac40525df1,bm2016_dopp_he_erg.pdf,15/16,2016,bayerisches-doppel-herren,BM M D,Bayerische Meisterschaft Männer Doppel 2016,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2016_nb_he_erg.pdf,4663d9170412099d491d3140f98c3a6321202424aa9a942c412524a4f07ebe23,bm2016_nb_he_erg.pdf,15/16,2016,nordbayerische-herren,NBM M,Nordbayerische Meisterschaft,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2016_sb_he_erg.pdf,eadf5c0a2d03bbe30e242d7d3ace280158021c426e7eed259e0f69591e74b52d,bm2016_sb_he_erg.pdf,15/16,2016,suedbayerische-herren,SBM M,Südbayerische Meisterschaft,male,legacy_pdf_erg_2016,true,scanned from input dir,Südbayerische Meisterschaft Einzel 2016,
bm2017_akt_einz_da_erg.pdf,335391bc3468bc9e5fcf43d4f79a7f8a5d09b71ae9af50bfcea2b922a442d640,bm2017_akt_einz_da_erg.pdf,16/17,2017,bayerische-einzel-frauen,BM D,Bayerische Meisterschaft Einzel Damen 2017,female,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2017_akt_einz_he_erg.pdf,80e8db25560ba5e17a4492e47de0b6d6850216bbad83851075c549bbda68368b,bm2017_akt_einz_he_erg.pdf,16/17,2017,bayerische-einzel-herren,BM M,Bayerische Meisterschaft Einzel 2017,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2017_nb_he_erg.pdf,91acadb27f902dfe719a66b245bc8fa94d4e74b6a1dc865cb165b2483c0250f9,bm2017_nb_he_erg.pdf,16/17,2017,nordbayerische-herren,NBM M,Nordbayerische Meisterschaft,male,legacy_pdf_erg_2016,true,scanned from input dir,Nordbayrische Meisterschaft Einzel 2017,
bm2017_sb_he_erg.pdf,a0e7e9af8bbb55015be164a54cd319718976c57f1dbf442850e4e8d1430fb1b2,bm2017_sb_he_erg.pdf,16/17,2017,suedbayerische-herren,SBM M,Südbayerische Meisterschaft,male,legacy_pdf_erg_2016,true,scanned from input dir,Südbayerische Meisterschaft Einzel 2017,
bm2018_akt_einz_f_erg.pdf,49aba289fb417f4e3d4626c394be9c5738091cbbb8233e3ad125ec1fd13e4f44,bm2018_akt_einz_f_erg.pdf,17/18,2018,bayerische-einzel-frauen,BM D,Bayerische Meisterschaft Einzel Damen 2018,female,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2018_akt_einz_m_erg.pdf,e35f28acc18c9366a199e786ad955dc9720f6a97b7117290d9165298fa807701,bm2018_akt_einz_m_erg.pdf,17/18,2018,bayerische-einzel-herren,BM M,Bayerische Meisterschaft Einzel 2018,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2018_akt_mix_erg.pdf,4f25648cef388fa10a1effb5973654a5abd93f7ae6fd3512c67a0eb91da237a7,bm2018_akt_mix_erg.pdf,17/18,2018,bayerische-mixed,BM X,Bayerische Meisterschaft Mixed 2018,mixed,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2018_akt_dopp_f_erg.pdf,89eb1af0db21029f0a2f21694eeacb068ce16bc838034f59893acf7e87663f96,bm2018_akt_dopp_f_erg.pdf,17/18,2018,bayerisches-doppel-frauen,BM D D,Bayerische Meisterschaft Damen Doppel 2018,female,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2018_akt_dopp_m_erg.pdf,0160878b60e797a004803f7cdd2bcc496971b9a3d4acfc47d704c9ddfec5ddf9,bm2018_akt_dopp_m_erg.pdf,17/18,2018,bayerisches-doppel-herren,BM M D,Bayerische Meisterschaft Männer Doppel 2018,male,legacy_pdf_erg_2016,true,scanned from input dir,,
bm2018_nb_he_erg.pdf,b76ef71585a18983c61fb40fef6cb1595b7ca931c21b1790160da591825a04f2,bm2018_nb_he_erg.pdf,17/18,2018,nordbayerische-herren,NBM M,Nordbayerische Meisterschaft,male,legacy_pdf_erg_2016,true,scanned from input dir,Nordbayrische Meisterschaft 2018,
