Player;Player ID;Franchise;Club;Power;Consistency
Benjamin Sisko;72541;Star Trek;Star Trek - Federation;5;0.859
Kathryn Janeway;89565;Star Trek;Star Trek - Federation;3;0.264
Worf;67335;Star Trek;Star Trek - Klingon-Romulan;10;0.812
Gowron;52847;Star Trek;Star Trek - Klingon-Romulan;9;0.774
Commander Sela;97823;Star Trek;Star Trek - Klingon-Romulan;5;0.695
General Chang;80108;Star Trek;Star Trek - Klingon-Romulan;5;0.324
Commander Shepard;85142;Mass Effect;Mass Effect - Alliance Crew;10;0.854
Garrus Vakarian;58180;Mass Effect;Mass Effect - Alliance Crew;8;0.923
Liara T'Soni;74807;Mass Effect;Mass Effect - Alliance Crew;7;0.766
Tali'Zorah;55164;Mass Effect;Mass Effect - Alliance Crew;5;0.351
Illusive Man;86178;Mass Effect;Mass Effect - Cerberus-Reapers;10;0.499
Harbinger;69213;Mass Effect;Mass Effect - Cerberus-Reapers;9;0.687
Kai Leng;91198;Mass Effect;Mass Effect - Cerberus-Reapers;6;0.875
Saren Arterius;90535;Mass Effect;Mass Effect - Cerberus-Reapers;4;0.291
Roboute Guilliman;73700;Warhammer 40K;Warhammer 40K - Imperium;9;0.248
Marneus Calgar;87837;Warhammer 40K;Warhammer 40K - Imperium;7;0.641
Saint Celestine;62601;Warhammer 40K;Warhammer 40K - Imperium;5;0.641
Inquisitor Eisenhorn;96174;Warhammer 40K;Warhammer 40K - Imperium;3;0.253
Abaddon the Despoiler;54558;Warhammer 40K;Warhammer 40K - Chaos;10;0.244
Magnus the Red;53003;Warhammer 40K;Warhammer 40K - Chaos;7;0.879
Ahriman;93336;Warhammer 40K;Warhammer 40K - Chaos;6;0.253
Kharn the Betrayer;64935;Warhammer 40K;Warhammer 40K - Chaos;3;0.409
Mickey Mouse;68965;Disney Characters;Disney Characters - Disney Heroes;10;0.361
Mulan;55229;Disney Characters;Disney Characters - Disney Heroes;7;0.743
Simba;65256;Disney Characters;Disney Characters - Disney Heroes;7;0.632
Moana;56619;Disney Characters;Disney Characters - Disney Heroes;3;0.788
Maleficent;74911;Disney Characters;Disney Characters - Disney Villains;10;0.343
Scar;68217;Disney Characters;Disney Characters - Disney Villains;7;0.694
Ursula;79714;Disney Characters;Disney Characters - Disney Villains;6;0.518
Jafar;91660;Disney Characters;Disney Characters - Disney Villains;4;0.848
