Season;Date;Location;Event Type;Event Name;Round Number;Round Name;Player;Player ID;Club;Game Number;Score;Handicap;Cumulative Score;Stage Rank;Cut Line;Overall Cumulative Score
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Anubis;175219;Egyptian Myth - Underworld Powers;0;208;0;208;20;;208
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Ravana;126986;Hindu Myth - Asuras;0;202;0;202;29;;202
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Bres;112221;Celtic Myth - Fomorians;0;208;0;208;21;;208
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Ishtar;172470;Mesopotamian Myth - Sky Kings;0;157;0;157;40;;157
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Marduk;188458;Mesopotamian Myth - Sky Kings;0;231;0;231;5;;231
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Thor;151201;Norse Myth - Aesir;0;201;0;201;30;;201
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Horus;174473;Egyptian Myth - Solar Court;0;177;0;177;38;;177
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Maleficent;74911;Disney Characters - Disney Villains;1;216;0;428;15;;428
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Mickey Mouse;68965;Disney Characters - Disney Heroes;1;205;0;420;22;;420
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Abaddon the Despoiler;54558;Warhammer 40K - Chaos;1;230;0;458;5;;458
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Commander Shepard;85142;Mass Effect - Alliance Crew;1;214;0;412;27;;412
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Worf;67335;Star Trek - Klingon-Romulan;1;217;0;415;23;;415
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Gandalf;98265;Lord of the Rings - Free Peoples;1;221;0;443;10;;443
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Jean-Luc Picard;56338;Star Trek - Federation;1;207;0;423;16;;423
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Sauron;85741;Lord of the Rings - Forces of Mordor;1;230;0;454;6;;454
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Lord Voldemort;65247;Harry Potter - Death Eaters;1;229;0;436;13;;436
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Illusive Man;86178;Mass Effect - Cerberus-Reapers;1;238;0;450;9;;450
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Jon Snow;86781;Game of Thrones - Stark-Targaryen Alliance;1;211;0;428;14;;428
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Harbinger;69213;Mass Effect - Cerberus-Reapers;1;206;0;421;20;;421
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Luke Skywalker;91905;Star Wars - Jedi Order;1;162;0;359;38;;359
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Feyd-Rautha;56698;Dune - Harkonnen-Sardaukar;1;198;0;406;31;;406
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;LeChuck;60463;LucasArts Games - Monkey Island & Legacy;1;198;0;404;32;;404
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Spock;73526;Star Trek - Federation;1;168;0;349;40;;349
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Gowron;52847;Star Trek - Klingon-Romulan;1;208;0;413;24;;413
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Darth Vader;68024;Star Wars - Sith Empire;1;210;0;450;8;;450
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Kyle Katarn;79439;LucasArts Games - Jedi Knight Era;1;212;0;409;29;;409
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Harry Potter;52082;Harry Potter - Order of the Phoenix;1;224;0;464;4;;464
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;The Dagda;143101;Celtic Myth - Tuatha De Danann;1;207;0;423;18;;423
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Indra;124470;Hindu Myth - Devas;1;198;0;410;28;;410
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Balor;139930;Celtic Myth - Fomorians;1;236;0;465;3;;465
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Tiamat;190311;Mesopotamian Myth - Chaos Ancients;1;215;0;423;19;;423
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Mahishasura;137200;Hindu Myth - Asuras;1;243;0;494;1;;494
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Osiris;179670;Egyptian Myth - Underworld Powers;1;220;0;437;12;;437
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Odin;126765;Norse Myth - Aesir;1;228;0;468;2;;468
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Cronus;174393;Greek Myth - Titans & Primordials;1;208;0;395;33;;395
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Ra;143286;Egyptian Myth - Solar Court;1;188;0;382;34;;382
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Zeus;139274;Greek Myth - Olympians;1;221;0;440;11;;440
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Loki;150650;Norse Myth - Giants & Tricksters;1;218;0;423;17;;423
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Vishnu;126083;Hindu Myth - Devas;1;187;0;364;37;;364
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Lugh;174647;Celtic Myth - Tuatha De Danann;1;203;0;407;30;;407
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Anubis;175219;Egyptian Myth - Underworld Powers;1;204;0;412;26;;412
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Ravana;126986;Hindu Myth - Asuras;1;176;0;378;36;;378
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Bres;112221;Celtic Myth - Fomorians;1;212;0;420;21;;420
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Ishtar;172470;Mesopotamian Myth - Sky Kings;1;196;0;353;39;;353
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Marduk;188458;Mesopotamian Myth - Sky Kings;1;221;0;452;7;;452
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Thor;151201;Norse Myth - Aesir;1;212;0;413;25;;413
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Horus;174473;Egyptian Myth - Solar Court;1;202;0;379;35;;379
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Maleficent;74911;Disney Characters - Disney Villains;2;216;0;644;18;;644
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Mickey Mouse;68965;Disney Characters - Disney Heroes;2;230;0;650;12;;650
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Abaddon the Despoiler;54558;Warhammer 40K - Chaos;2;227;0;685;3;;685
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Commander Shepard;85142;Mass Effect - Alliance Crew;2;212;0;624;25;;624
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Worf;67335;Star Trek - Klingon-Romulan;2;205;0;620;27;;620
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Gandalf;98265;Lord of the Rings - Free Peoples;2;213;0;656;10;;656
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Jean-Luc Picard;56338;Star Trek - Federation;2;213;0;636;20;;636
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Sauron;85741;Lord of the Rings - Forces of Mordor;2;194;0;648;15;;648
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Lord Voldemort;65247;Harry Potter - Death Eaters;2;217;0;653;11;;653
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Illusive Man;86178;Mass Effect - Cerberus-Reapers;2;216;0;666;9;;666
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Jon Snow;86781;Game of Thrones - Stark-Targaryen Alliance;2;215;0;643;19;;643
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Harbinger;69213;Mass Effect - Cerberus-Reapers;2;225;0;646;16;;646
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Luke Skywalker;91905;Star Wars - Jedi Order;2;178;0;537;38;;537
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Feyd-Rautha;56698;Dune - Harkonnen-Sardaukar;2;203;0;609;32;;609
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;LeChuck;60463;LucasArts Games - Monkey Island & Legacy;2;206;0;610;31;;610
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Spock;73526;Star Trek - Federation;2;173;0;522;40;;522
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Gowron;52847;Star Trek - Klingon-Romulan;2;215;0;628;23;;628
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Darth Vader;68024;Star Wars - Sith Empire;2;235;0;685;4;;685
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Kyle Katarn;79439;LucasArts Games - Jedi Knight Era;2;207;0;616;28;;616
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Harry Potter;52082;Harry Potter - Order of the Phoenix;2;213;0;677;6;;677
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;The Dagda;143101;Celtic Myth - Tuatha De Danann;2;208;0;631;21;;631
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Indra;124470;Hindu Myth - Devas;2;214;0;624;26;;624
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Balor;139930;Celtic Myth - Fomorians;2;208;0;673;8;;673
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Tiamat;190311;Mesopotamian Myth - Chaos Ancients;2;226;0;649;14;;649
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Mahishasura;137200;Hindu Myth - Asuras;2;191;0;685;5;;685
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Osiris;179670;Egyptian Myth - Underworld Powers;2;212;0;649;13;;649
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Odin;126765;Norse Myth - Aesir;2;242;0;710;1;;710
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Cronus;174393;Greek Myth - Titans & Primordials;2;197;0;592;36;;592
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Ra;143286;Egyptian Myth - Solar Court;2;233;0;615;29;;615
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Zeus;139274;Greek Myth - Olympians;2;247;0;687;2;;687
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Loki;150650;Norse Myth - Giants & Tricksters;2;221;0;644;17;;644
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Vishnu;126083;Hindu Myth - Devas;2;197;0;561;37;;561
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Lugh;174647;Celtic Myth - Tuatha De Danann;2;221;0;628;24;;628
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Anubis;175219;Egyptian Myth - Underworld Powers;2;217;0;629;22;;629
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Ravana;126986;Hindu Myth - Asuras;2;223;0;601;33;;601
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Bres;112221;Celtic Myth - Fomorians;2;193;0;613;30;;613
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Ishtar;172470;Mesopotamian Myth - Sky Kings;2;171;0;524;39;;524
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Marduk;188458;Mesopotamian Myth - Sky Kings;2;223;0;675;7;;675
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Thor;151201;Norse Myth - Aesir;2;186;0;599;35;;599
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Horus;174473;Egyptian Myth - Solar Court;2;221;0;600;34;;600
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Maleficent;74911;Disney Characters - Disney Villains;3;220;0;864;13;;864
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Mickey Mouse;68965;Disney Characters - Disney Heroes;3;203;0;853;16;;853
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Abaddon the Despoiler;54558;Warhammer 40K - Chaos;3;208;0;893;6;;893
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Commander Shepard;85142;Mass Effect - Alliance Crew;3;217;0;841;21;;841
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Worf;67335;Star Trek - Klingon-Romulan;3;212;0;832;25;;832
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Gandalf;98265;Lord of the Rings - Free Peoples;3;220;0;876;9;;876
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Jean-Luc Picard;56338;Star Trek - Federation;3;204;0;840;22;;840
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Sauron;85741;Lord of the Rings - Forces of Mordor;3;205;0;853;17;;853
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Lord Voldemort;65247;Harry Potter - Death Eaters;3;214;0;867;11;;867
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Illusive Man;86178;Mass Effect - Cerberus-Reapers;3;196;0;862;14;;862
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Jon Snow;86781;Game of Thrones - Stark-Targaryen Alliance;3;216;0;859;15;;859
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Harbinger;69213;Mass Effect - Cerberus-Reapers;3;198;0;844;20;;844
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Luke Skywalker;91905;Star Wars - Jedi Order;3;179;0;716;40;;716
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Feyd-Rautha;56698;Dune - Harkonnen-Sardaukar;3;216;0;825;29;;825
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;LeChuck;60463;LucasArts Games - Monkey Island & Legacy;3;205;0;815;32;;815
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Spock;73526;Star Trek - Federation;3;207;0;729;38;;729
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Gowron;52847;Star Trek - Klingon-Romulan;3;206;0;834;24;;834
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Darth Vader;68024;Star Wars - Sith Empire;3;206;0;891;7;;891
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Kyle Katarn;79439;LucasArts Games - Jedi Knight Era;3;214;0;830;27;;830
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Harry Potter;52082;Harry Potter - Order of the Phoenix;3;232;0;909;5;;909
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;The Dagda;143101;Celtic Myth - Tuatha De Danann;3;206;0;837;23;;837
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Indra;124470;Hindu Myth - Devas;3;242;0;866;12;;866
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Balor;139930;Celtic Myth - Fomorians;3;205;0;878;8;;878
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Tiamat;190311;Mesopotamian Myth - Chaos Ancients;3;202;0;851;18;;851
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Mahishasura;137200;Hindu Myth - Asuras;3;230;0;915;4;;915
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Osiris;179670;Egyptian Myth - Underworld Powers;3;223;0;872;10;;872
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Odin;126765;Norse Myth - Aesir;3;240;0;950;1;;950
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Cronus;174393;Greek Myth - Titans & Primordials;3;217;0;809;34;;809
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Ra;143286;Egyptian Myth - Solar Court;3;199;0;814;33;;814
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Zeus;139274;Greek Myth - Olympians;3;243;0;930;2;;930
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Loki;150650;Norse Myth - Giants & Tricksters;3;204;0;848;19;;848
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Vishnu;126083;Hindu Myth - Devas;3;188;0;749;37;;749
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Lugh;174647;Celtic Myth - Tuatha De Danann;3;193;0;821;30;;821
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Anubis;175219;Egyptian Myth - Underworld Powers;3;196;0;825;28;;825
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Ravana;126986;Hindu Myth - Asuras;3;192;0;793;36;;793
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Bres;112221;Celtic Myth - Fomorians;3;205;0;818;31;;818
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Ishtar;172470;Mesopotamian Myth - Sky Kings;3;192;0;716;39;;716
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Marduk;188458;Mesopotamian Myth - Sky Kings;3;243;0;918;3;;918
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Thor;151201;Norse Myth - Aesir;3;198;0;797;35;;797
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;1;Qualifying A;Horus;174473;Egyptian Myth - Solar Court;3;230;0;830;26;;830
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;2;Qualifying B;Maleficent;74911;Disney Characters - Disney Villains;0;249;0;249;1;1060;1113
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;2;Qualifying B;Mickey Mouse;68965;Disney Characters - Disney Heroes;0;225;0;225;8;1060;1078
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;2;Qualifying B;Abaddon the Despoiler;54558;Warhammer 40K - Chaos;0;243;0;243;3;1060;1136
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;2;Qualifying B;Commander Shepard;85142;Mass Effect - Alliance Crew;0;200;0;200;31;1060;1041
24/25;2024-10-02;Arena of Echoes;tournament;Clash of Imaginary Entities;2;Qualifying B;Worf;67335;Star Trek - Klingon-Romulan;0;207;0;207;26;1060;1039
